client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
9075069,17.0,211.0,60.0,F,2.0,95410.76,4.0,7.0
6004780,12.0,153.0,50.5,M,3.0,367462.39,3.0,6.0
8264444,16.0,195.0,68.5,F,2.0,112937.63,6.0,9.0
5219963,10.0,121.0,31.5,F,2.0,76771.81,0.0,3.0
6132220,16.0,203.0,52.0,F,2.0,117008.8,4.0,7.0
3755455,6.0,77.0,28.5,U,2.0,65678.04000000001,3.0,6.0
7483839,22.0,272.0,56.5,M,3.0,338755.93,6.0,9.0
9348332,22.0,265.0,53.0,M,3.0,577791.17,4.0,7.0
4364957,17.0,209.0,64.0,F,3.0,826197.89,5.0,8.0
5406510,8.0,106.0,33.0,F,2.0,84144.04000000001,2.0,5.0
9837096,9.0,119.0,63.0,U,2.0,227802.96999999997,2.0,5.0
5425452,7.0,88.0,50.0,U,3.0,854291.65,1.0,4.0
2914951,13.0,166.0,45.0,F,2.0,176815.52999999997,0.0,3.0
6229124,7.0,85.0,33.5,U,3.0,97183.61,6.0,9.0
4473543,5.0,70.0,40.5,U,3.0,66552.82,3.0,6.0
7310516,11.0,138.0,70.5,F,4.0,134862.89,6.0,9.0
5159193,9.0,108.0,47.0,M,3.0,208271.62,6.0,9.0
7501737,9.0,112.0,38.5,M,2.0,100722.69,2.0,5.0
1419408,16.0,192.0,55.0,F,2.0,173163.26,6.0,9.0
9488533,11.0,139.0,39.0,F,2.0,67321.58,6.0,9.0
5798848,13.0,164.0,36.5,F,2.0,69776.07,1.0,4.0
4364429,7.0,87.0,31.5,M,2.0,106927.6,0.0,4.0
6645565,14.0,175.0,34.5,M,2.0,71912.39,4.0,7.0
9052980,29.0,357.0,67.5,M,3.0,91660.07,5.0,8.0
1971298,4.0,59.0,59.5,U,2.0,102809.44,5.0,8.0
3068817,22.0,274.0,68.0,F,2.0,1028145.79,5.0,9.0
116248,21.0,260.0,43.0,M,2.0,185805.4,4.0,7.0
7402550,21.0,253.0,81.0,F,2.0,234281.07,6.0,9.0
6791485,21.0,253.0,47.5,M,3.0,2206638.21,3.0,7.0
